Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,Worse than the National Rate,349,15.8,12.9,19.3,,1/7/13,30/6/16
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,850,20.2,17.7,22.9,,1/7/13,30/6/16
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,225,14.9,11.8,18.8,,1/7/13,30/6/16
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,No Different than the National Rate,133,1.09,0.14,2.03,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,No Different than the National Rate,104,12.93,3.48,22.38,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,824,4.84,1.94,7.75,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,121,5.49,1.27,9.7,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,86,2.13,0,4.38,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,93,0.85,0,2.06,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Pressure sores,PSI_3_ULCER,No Different than the National Rate,3331,0.11,0,0.61,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,30,174.65,128.81,220.49,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,4578,0.39,0.11,0.67,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,3714,0.1,0.02,0.17,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,No Different than the National Rate,792,4.79,2.49,7.08,,1/7/14,30/9/15
10001,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Serious complications,PSI_90_SAFETY,No Different than the National Value,Not Available,0.99,0.65,1.34,,1/7/14,30/9/15
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,393,3.8,2.6,5.6,,1/4/13,31/3/16
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,396,15.7,12.9,18.8,,1/7/13,30/6/16
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,154,4.5,2.5,7.9,,1/7/13,30/6/16
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,581,6.8,5.2,8.8,,1/7/13,30/6/16
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,753,13.4,11.2,15.8,,1/7/13,30/6/16
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,910,17.1,14.8,19.6,,1/7/13,30/6/16
10001,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Death rate for stroke patients,MORT_30_STK,Worse than the National Rate,380,19.3,16,23.1,,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,27,2.8,1.6,4.7,,1/4/13,31/3/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,26,13.7,10.5,17.5,,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,109,8.1,5.5,11.8,,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,93,15,10.8,20.4,,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,210,22.3,17.9,27.8,,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,40,15.4,11.2,20.9,,1/7/13,30/6/16
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,No Different than the National Rate,45,1.11,0.16,2.07,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,No Different than the National Rate,36,11.07,0.37,21.77,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,96,4.09,0.59,7.6,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,40,5.75,1.44,10.07,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Pressure sores,PSI_3_ULCER,No Different than the National Rate,716,0.21,0,0.9,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,961,0.39,0.08,0.69,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,828,0.1,0.02,0.18,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,No Different than the National Rate,93,4.68,2.17,7.19,,1/7/14,30/9/15
10001,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Serious complications,PSI_90_SAFETY,No Different than the National Value,Not Available,0.95,0.55,1.34,,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,1/4/13,31/3/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/13,30/6/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,1/7/13,30/6/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,27,8.4,5.6,12.3,,1/7/13,30/6/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/13,30/6/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,67,16.3,12.2,21.4,,1/7/13,30/6/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Death rate for stroke patients,MORT_30_STK,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/13,30/6/16
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Pressure sores,PSI_3_ULCER,No Different than the National Rate,237,0.24,0,0.98,,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,296,0.39,0.09,0.7,,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,227,0.1,0.02,0.18,,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/7/14,30/9/15
10001,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Serious complications,PSI_90_SAFETY,No Different than the National Value,Not Available,1,0.59,1.4,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,228,3.6,2.3,5.6,,1/4/13,31/3/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,241,13.3,10.6,16.5,,1/7/13,30/6/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,117,3.8,2,6.8,,1/7/13,30/6/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,251,8.2,6.1,10.8,,1/7/13,30/6/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,380,11.9,9.6,14.5,,1/7/13,30/6/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,563,16.3,13.9,18.9,,1/7/13,30/6/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,178,11.9,9,15.5,,1/7/13,30/6/16
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,No Different than the National Rate,652,1.17,0.27,2.06,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,No Different than the National Rate,487,14.53,6.99,22.07,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,1410,5.16,2.54,7.77,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,651,7.1,3.6,10.61,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,158,2.1,0,4.33,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,201,0.82,0,2,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Pressure sores,PSI_3_ULCER,No Different than the National Rate,3524,0.09,0,0.56,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,66,157.43,118.57,196.28,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,4984,0.31,0.04,0.58,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,3986,0.11,0.03,0.19,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,No Different than the National Rate,1335,5.49,3.43,7.55,,1/7/14,30/9/15
10001,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Serious complications,PSI_90_SAFETY,No Different than the National Value,Not Available,1.12,0.83,1.41,,1/7/14,30/9/15
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/4/13,31/3/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,143,15.8,12.5,19.9,,1/7/13,30/6/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,1/7/13,30/6/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,155,8.3,6,11.3,,1/7/13,30/6/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,142,13.3,9.9,17.5,,1/7/13,30/6/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,265,24.1,20.1,28.8,,1/7/13,30/6/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,46,16.8,12.8,21.7,,1/7/13,30/6/16
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,No Different than the National Rate,82,1.09,0.14,2.03,,1/7/14,30/9/15
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,No Different than the National Rate,76,9.44,0,19.32,,1/7/14,30/9/15
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,185,3.92,0.49,7.36,,1/7/14,30/9/15
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,80,6.28,2.07,10.5,,1/7/14,30/9/15
10001,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,36,2.22,0,4.52,,1/7/14,30/9/15
